         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\project_manager.py:119(__init__)
       46    0.001    0.000    0.001    0.000 {built-in method nt._path_isdir}
        2    0.000    0.000    0.001    0.001 C:\Users\thewi\miniconda3\Lib\site-packages\requests\utils.py:204(get_netrc_auth)
        8    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
        2    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\theme_manager.py:223(load_config)
5696/5688    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\main.py:374(init_menu_bar)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\menu_manager.py:21(create_menu_bar)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:366(ManyProjectsManagerWidget)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\project_manager.py:675(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\project_manager.py:680(setup_ui)
  125/107    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFFF9177A20}
        5    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\environment_manager.py:11(__init__)
       71    0.001    0.000    0.001    0.000 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
       76    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\enum.py:726(__call__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:2193(warning)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1541(warning)
        2    0.001    0.001    0.001    0.001 {built-in method setFont}
        1    0.000    0.000    0.001    0.001 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\util\ssl_.py:223(create_urllib3_context)
        2    0.001    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\GUX\custom_tree_view.py:9(__init__)
        2    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\workspace_manager.py:18(__init__)
        4    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:24(__init__)
      135    0.001    0.000    0.001    0.000 <frozen ntpath>:107(join)
        1    0.001    0.001    0.001    0.001 {built-in method addTab}
       14    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
        4    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:47(load_config)
        1    0.000    0.000    0.001    0.001 C:\Users\thewi\miniconda3\Lib\ssl.py:430(__new__)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\http\client.py:245(parse_headers)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:949(_cache_commit_hash_for_specific_revision)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\enum.py:863(_create_)
       23    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\settings_manager.py:15(get_value)
       23    0.001    0.000    0.001    0.000 {built-in method value}
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\models.py:351(prepare)
        2    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\workspace_manager.py:27(load_config)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:96(setup_terminal)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\http\client.py:231(_parse_header_lines)
       53    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\email\parser.py:56(parsestr)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\sessions.py:750(merge_environment_settings)
       53    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\email\parser.py:41(parse)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_fast.py:362(_add_tokens)
        2    0.001    0.000    0.001    0.000 {method 'add_special_tokens' of 'tokenizers.Tokenizer' objects}
       52    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:437(__str__)
   209/14    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
   209/14    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       38    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.001    0.000    0.001    0.000 {built-in method appendPlainText}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
       30    0.001    0.000    0.001    0.000 {built-in method nt._path_isfile}
       35    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:551(drive)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:109(set_terminal_font)
       11    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\structures.py:40(__init__)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\menu_manager.py:61(create_view_menu)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:429(StickyNotesWidget)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\sticky_note_manager.py:7(__init__)
       15    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
        5    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\environment_manager.py:18(load_environments)
        6    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:1022(read_text)
    536/2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_base.py:2527(convert_added_tokens)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\sticky_note_manager.py:12(initUI)
       14    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\sessions.py:61(merge_setting)
        2    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\secrets_manager.py:13(__init__)
      361    0.000    0.000    0.001    0.000 <frozen ntpath>:179(splitroot)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:375(VaultsManagerWidget)
        2    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\font_manager.py:10(__init__)
       11    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
        2    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\email\feedparser.py:171(feed)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\GUX\widget_vault.py:23(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.001    0.001 C:\Users\thewi\miniconda3\Lib\traceback.py:1045(print)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\tokenize.py:445(open)
       33    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:407(_load_parts)
       39    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:447(__fspath__)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:384(ProcessManagerWidget)
